NroItem;CodTransaccion;NroSerial;CodCampus;NroFormulario;Nombre;Ubicación;Proveedor;EmpresaResponsable;Estado;codebar
51;327;400SN39173;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
52;327;COM2024CM21070723;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
53;327;KBM130091706;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
54;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
55;327;400SN39208;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
56;327;COM2024CM21070880;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
57;327;KBM130090718;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
58;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
59;327;400SN39182;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
60;327;COM2024CM21070018;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
61;327;KBM130090717;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
62;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
63;327;400SN39190;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
64;327;COM2024CM21070876;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
65;327;KBM130090719;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
66;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
67;327;400SN39186;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
68;327;COM2024CM21070838;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
69;327;KBM130091718;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
70;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
71;327;400SN39198;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
72;327;COM2024CM21070638;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
73;327;KBM130091719;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
74;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
75;327;102SN55107;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
76;327;COM2024CM21070037;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
77;327;KBM130091731;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
78;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
79;327;102SN55106;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
80;327;COM2024CM21070115;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
81;327;KBM130091732;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
82;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
83;327;400SN39204;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
84;327;COM2024CM21070874;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
85;327;KBM130090731;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
86;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
87;327;400SN39214;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
88;327;COM2024CM21070105;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
89;327;KBM130090732;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
90;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
91;327;400SN39189;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
92;327;COM2024CM21070010;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
93;327;KBM130091733;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
94;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
95;327;400SN39223;000000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
96;327;COM2024CM21070109;000000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
97;327;KBM130090703;000000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
