NroItem;CodTransaccion;NroSerial;CodCampus;NroFormulario;Nombre;Ubicación;Proveedor;EmpresaResponsable;Estado;codebar
51;327;400SN39173;CPU000;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU000*
52;327;COM2024CM21070723;MON000;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON000*
53;327;KBM130091706;TE000;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE000*
54;327;Sin serial ;MO000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO000*
55;327;400SN39208;CPU001;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU001*
56;327;COM2024CM21070880;MON001;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON001*
57;327;KBM130090718;TE001;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE001*
58;327;Sin serial ;MO001;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO001*
59;327;400SN39182;CPU002;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU002*
60;327;COM2024CM21070018;MON002;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON002*
61;327;KBM130090717;TE002;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE002*
62;327;Sin serial ;MO002;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO002*
63;327;400SN39190;CPU003;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU003*
64;327;COM2024CM21070876;MON003;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON003*
65;327;KBM130090719;TE003;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE003*
66;327;Sin serial ;MO003;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO003*
67;327;400SN39186;CPU004;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU004*
